"","site","lat","lon","elv","age","Tmin","gdd","alpha","Tmax"
"1","Almenara de Adaja",41.19194444,-4.668055556,784,477,0.375876946586234,3346.48388420792,0.860372442638242,14.421892422821
"2","Almenara de Adaja",41.19194444,-4.668055556,784,576,-1.02627179819325,3711.91405609884,0.789693367230733,16.7039791691649
"3","Almenara de Adaja",41.19194444,-4.668055556,784,675,2.85279891031245,3978.25277981712,0.743463460626741,17.5677224351299
"4","Almenara de Adaja",41.19194444,-4.668055556,784,774,0.510807333269823,3762.94612665765,0.771298063534327,16.7532426814399
"5","Almenara de Adaja",41.19194444,-4.668055556,784,875,0.369738003622158,3834.4038538217,0.769673994107392,16.9509305395681
"6","Almenara de Adaja",41.19194444,-4.668055556,784,976,2.66847561133895,4621.35386885205,0.613797603342458,21.3206811184848
"7","Almenara de Adaja",41.19194444,-4.668055556,784,1074,4.30171986520139,5019.71880857522,0.541007978639392,23.5040135266867
"8","Almenara de Adaja",41.19194444,-4.668055556,784,1171,3.8460384243419,4468.96384821816,0.643448394163307,20.2165546389286
"9","Almenara de Adaja",41.19194444,-4.668055556,784,1268,3.85951397639601,4746.84579715881,0.587443620863834,22.0750956077837
"10","Almenara de Adaja",41.19194444,-4.668055556,784,1365,4.55818344854397,4936.51275001828,0.549869607774649,22.9315612851407
"11","Almenara de Adaja",41.19194444,-4.668055556,784,1462,5.37554754210465,4940.88510864944,0.55228246001382,22.9507336444714
"12","Almenara de Adaja",41.19194444,-4.668055556,784,1558,6.29290280432068,4974.84235479636,0.548701365066189,23.1839735341195
"13","Almenara de Adaja",41.19194444,-4.668055556,784,1653,1.67558528004678,4154.21400459521,0.701291486727184,18.485062816622
"14","Almenara de Adaja",41.19194444,-4.668055556,784,1751,4.09910803393307,3855.75284182606,0.754660601999025,16.8219229673208
"15","Almenara de Adaja",41.19194444,-4.668055556,784,1849,4.55255262343443,3937.58419791875,0.746981676980955,16.7345406350308
"16","Almenara de Adaja",41.19194444,-4.668055556,784,1946,4.33166683992533,3885.50620648267,0.757104779300164,16.7684830221525
"17","Almenara de Adaja",41.19194444,-4.668055556,784,2044,6.16661122920078,4318.66533044912,0.681698135931931,18.4733236354726
"18","Almenara de Adaja",41.19194444,-4.668055556,784,2143,2.78348456976066,3795.37535843311,0.776663160683579,15.5418672511229
"19","Almenara de Adaja",41.19194444,-4.668055556,784,2243,6.31250693583898,4432.20776864431,0.636818425607683,19.1527294918405
"20","Almenara de Adaja",41.19194444,-4.668055556,784,2340,6.44554863018255,4471.13124536052,0.626063510446654,19.4210155282243
"21","Almenara de Adaja",41.19194444,-4.668055556,784,2438,6.64774719619175,4509.74887866652,0.62324331283044,19.3785638255708
"22","Almenara de Adaja",41.19194444,-4.668055556,784,2538,6.7782477687015,4448.84977398487,0.636289329310838,18.8046939271121
"23","Almenara de Adaja",41.19194444,-4.668055556,784,2638,7.17304415008811,4768.36158916876,0.578647103134873,20.5731977500013
"24","Almenara de Adaja",41.19194444,-4.668055556,784,2734,6.6342154548759,4665.86817286983,0.601188461178361,20.282761857134
"25","Almenara de Adaja",41.19194444,-4.668055556,784,2830,6.83233332230632,4768.60160668696,0.574980299497464,20.7982540327021
"26","Alsa",43.11777778,-4.016666667,560,150,-4.33446691965533,3374.77116420478,0.828175595254228,18.0481502348051
"27","Alsa",43.11777778,-4.016666667,560,381,1.69785100786483,3373.59598120243,0.862437084785454,15.215464253917
"28","Alsa",43.11777778,-4.016666667,560,582,-0.647345213336668,3243.80856332447,0.852249503130105,16.6656770114948
"29","Alsa",43.11777778,-4.016666667,560,781,-3.86546982311553,3702.5868247308,0.735799605967496,21.450624504901
"30","Alsa",43.11777778,-4.016666667,560,1060,-1.42575315176262,3367.77395976341,0.814468674927361,18.93353174117
"31","Alsa",43.11777778,-4.016666667,560,1423,-1.21286687251251,3263.68269382505,0.835696704666386,18.1267498615258
"32","Alsa",43.11777778,-4.016666667,560,1790,3.99350432235542,3301.16081552046,0.913748653733801,14.4373271883526
"33","Alsa",43.11777778,-4.016666667,560,2145,5.20663319730703,3425.20430538354,0.796045206955065,15.3402368325746
"34","Alsa",43.11777778,-4.016666667,560,2424,3.34588461220798,3476.87145792966,0.751169366289467,17.1658189063965
"35","Alsa",43.11777778,-4.016666667,560,2709,-1.04734869768906,4595.27801530441,0.551306901900077,25.4463947658074
"36","Alsa",43.11777778,-4.016666667,560,2996,-5.62833930639817,3011.1498036253,0.842028336050774,19.2598212778382
"37","Alsa",43.11777778,-4.016666667,560,3215,-3.89551654855369,3224.61050741803,0.803334645439429,20.3790953707141
