"","site","lat","lon","elv","age","Tmin","gdd","alpha","Tmax","sse_Tmin","sse_gdd","sse_alpha","sse_Tmax"
"1","Almenara de Adaja",41.19194444,-4.668055556,784,477,0.375876946586234,3346.48388420792,0.860372442638242,14.421892422821,1.24651431674493,95.4274497307482,0.0178202656009388,0.588654554001099
"2","Almenara de Adaja",41.19194444,-4.668055556,784,576,-1.02627179819325,3711.91405609884,0.789693367230733,16.7039791691649,1.23445022240808,119.226143288823,0.0203116692738837,0.751359723092963
"3","Almenara de Adaja",41.19194444,-4.668055556,784,675,2.85279891031245,3978.25277981712,0.743463460626741,17.5677224351299,0.99475397735204,105.756624608095,0.019243993664561,0.655885391302095
"4","Almenara de Adaja",41.19194444,-4.668055556,784,774,0.510807333269823,3762.94612665765,0.771298063534327,16.7532426814399,1.0114504114177,88.0504820341352,0.0156853987699529,0.557650921676508
"5","Almenara de Adaja",41.19194444,-4.668055556,784,875,0.369738003622158,3834.4038538217,0.769673994107392,16.9509305395681,1.16638226563056,111.188448005867,0.0194373040540571,0.702557800618713
"6","Almenara de Adaja",41.19194444,-4.668055556,784,976,2.66847561133895,4621.35386885205,0.613797603342458,21.3206811184848,0.857099927033572,107.106086871478,0.0211378851898961,0.740174431843425
"7","Almenara de Adaja",41.19194444,-4.668055556,784,1074,4.30171986520139,5019.71880857522,0.541007978639392,23.5040135266867,0.814970663190829,112.070726221308,0.0232978707957879,0.762093132481958
"8","Almenara de Adaja",41.19194444,-4.668055556,784,1171,3.8460384243419,4468.96384821816,0.643448394163307,20.2165546389286,1.07997832349885,99.5804706654708,0.0194259266063744,0.681586098027943
"9","Almenara de Adaja",41.19194444,-4.668055556,784,1268,3.85951397639601,4746.84579715881,0.587443620863834,22.0750956077837,1.18767101010847,110.312611828398,0.0223826105918994,0.785793001766925
"10","Almenara de Adaja",41.19194444,-4.668055556,784,1365,4.55818344854397,4936.51275001828,0.549869607774649,22.9315612851407,1.10068914144698,127.131277765076,0.0252617440257527,0.879219821359238
"11","Almenara de Adaja",41.19194444,-4.668055556,784,1462,5.37554754210465,4940.88510864944,0.55228246001382,22.9507336444714,1.13675636915625,118.140964967149,0.0239764952899899,0.834666820740645
"12","Almenara de Adaja",41.19194444,-4.668055556,784,1558,6.29290280432068,4974.84235479636,0.548701365066189,23.1839735341195,1.1728963647142,113.313872333698,0.0237779938373442,0.811094138457334
"13","Almenara de Adaja",41.19194444,-4.668055556,784,1653,1.67558528004678,4154.21400459521,0.701291486727184,18.485062816622,1.67777650257971,111.725313306029,0.0230513427341991,0.780973015995822
"14","Almenara de Adaja",41.19194444,-4.668055556,784,1751,4.09910803393307,3855.75284182606,0.754660601999025,16.8219229673208,0.929080729899344,99.8034883329651,0.0185966292119759,0.594655384236309
"15","Almenara de Adaja",41.19194444,-4.668055556,784,1849,4.55255262343443,3937.58419791875,0.746981676980955,16.7345406350308,0.939884804384655,108.182918453365,0.0200441796235391,0.66151584495384
"16","Almenara de Adaja",41.19194444,-4.668055556,784,1946,4.33166683992533,3885.50620648267,0.757104779300164,16.7684830221525,0.906378943072502,107.073104505516,0.0203623572334795,0.654262750828942
"17","Almenara de Adaja",41.19194444,-4.668055556,784,2044,6.16661122920078,4318.66533044912,0.681698135931931,18.4733236354726,0.785517305332969,117.560576748934,0.0250984452299452,0.706462107947307
"18","Almenara de Adaja",41.19194444,-4.668055556,784,2143,2.78348456976066,3795.37535843311,0.776663160683579,15.5418672511229,1.2377173697911,107.619458263375,0.0210866561859437,0.672173655335587
"19","Almenara de Adaja",41.19194444,-4.668055556,784,2243,6.31250693583898,4432.20776864431,0.636818425607683,19.1527294918405,0.88589670403153,84.0877171956556,0.0210468393171211,0.627772129818585
"20","Almenara de Adaja",41.19194444,-4.668055556,784,2340,6.44554863018255,4471.13124536052,0.626063510446654,19.4210155282243,0.891870891948969,70.795182727382,0.0237023854749938,0.55856273146308
"21","Almenara de Adaja",41.19194444,-4.668055556,784,2438,6.64774719619175,4509.74887866652,0.62324331283044,19.3785638255708,0.717477543233456,75.7936538698999,0.0213671996924694,0.574003175416426
"22","Almenara de Adaja",41.19194444,-4.668055556,784,2538,6.7782477687015,4448.84977398487,0.636289329310838,18.8046939271121,0.663216759229516,82.6387927327309,0.0200902046131178,0.55469878873698
"23","Almenara de Adaja",41.19194444,-4.668055556,784,2638,7.17304415008811,4768.36158916876,0.578647103134873,20.5731977500013,0.565464050447615,63.9140837296229,0.0184930854176907,0.431522400538083
"24","Almenara de Adaja",41.19194444,-4.668055556,784,2734,6.6342154548759,4665.86817286983,0.601188461178361,20.282761857134,0.613361487822339,66.1978694721228,0.0189906356932626,0.453868084387667
"25","Almenara de Adaja",41.19194444,-4.668055556,784,2830,6.83233332230632,4768.60160668696,0.574980299497464,20.7982540327021,0.567481425782764,51.4997937457537,0.0187824915032429,0.369149332847897
"26","Alsa",43.11777778,-4.016666667,560,150,-4.33446691965533,3374.77116420478,0.828175595254228,18.0481502348051,1.59919317975506,121.866616159275,0.0314378801504426,0.556495011678747
"27","Alsa",43.11777778,-4.016666667,560,381,1.69785100786483,3373.59598120243,0.862437084785454,15.215464253917,0.888666100171974,42.5165396208256,0.0278571935034907,0.610877197076643
"28","Alsa",43.11777778,-4.016666667,560,582,-0.647345213336668,3243.80856332447,0.852249503130105,16.6656770114948,1.1032774332721,60.9831910297399,0.0234936480673175,0.515723870808828
"29","Alsa",43.11777778,-4.016666667,560,781,-3.86546982311553,3702.5868247308,0.735799605967496,21.450624504901,1.28634840796579,106.597418845011,0.0290492786697479,0.56889851974215
